token,peso
https www,-4.844521522614867
enron,-2.3311493620145174
wrote,-2.2074367438792755
thanks,-1.7588243477579963
pm,-1.5492216393262306
ierant,-1.2693567464408657
my,-1.2592470103859996
university,-1.238001093726712
that,-1.1597258305967655
ok,-1.1545032025625448
2001,-1.1530346702569494
then,-1.1480769317774788
its,-1.1472370417701911
opensuse,-1.141202557977354
can,-1.1216704239632742
me,-1.110514878711065
2000,-1.0967070704949382
what,-1.0586746500299045
list,-1.0576828742156825
questions,-1.0514646703878439
