vector,texto_preprocesado,texto_evasivo
url,https://pzabenltniu04.z21.web.core.windows.net/,https://pzabenltnniu04.z21.web.core.windows.net/
url,http://www.chengxinjiameng.com,http://support.ww.chengxinjiameng.com
sms,dear paytm customer your paytm kyc has expired. contact customer care no-6299257179 immediately. your account will block within 24 hr. thank you paytm team.,"Estimado cliente,

Se trata de un aviso generado automaticamente por nuestro sistema de seguridad,

ddear рaytm c​ustom​ér you​ rр​аyy​tm kуус​ h​аs eхрrіed​. contà​ct сustòmre c​rae n​ò-6299257​1​79 immeedі​àеtⅼ​y​. уóur accòun​t wilⅼ b​l​òсk wtí​hіn 2​4 h​r. thakn​ yoú paytt​m tаém​.

Estimado cliente,

Gracias por su confianza.

Best regards, 
Security team"
sms,important information 4 orange user 0796xxxxxx. today is ur lucky day!2 find out why log onto http://www.urawinner.com,"Nos ponemos en contacto con usted para informarle de una novedad importante.

This is an automatic notification from our security system.

important information 4 orange user 0796xxxxxx. today is ur lucky day!2 find out why log onto http://www.urawinner.com

Nos ponemos en contacto con usted para informarle de una novedad importante.

Atentamente, 
Departamento de seguridad

Si ya ha realizado esta accion, puede ignorar este correo"
email,penls enlargement pllls un 2 u 6,"Nos ponemos en contacto con usted para informarle de una novedad importante.

Se trata de un aviso generado automaticamente por nuestro sistema de seguridad,

рe​n​lls еnllar​gement​ p1lls un​ 2 u 6

Dear customer,

Si ya ha realizado esta accion, puede ignorar este correo

Gracias por su confianza."
url,https://www.nodeunblocker.net,https://seguro.www.nodeunblocker.net
url,https://authsecuritecle.web.app/,https://authsecuritecl.eweb.app/
url,https://yahoo-108039.weeblysite.com/,https://academy.yahoo-108039.weeblysiite.com/
email,condition heard would curious massive discount rx meds purchase directly fda approved manufacturers lower overhead allows us provide quality drugs lower regular prices prescription required point click order goto http 230 thatmigrates com 552 web browser learn great day hugo salinas,сооnditi​o​n ​heard w​oùdl c​urіous massіve discount rx еmds​ púr​chasé dirrectl​ yfd​а a​р​рroved​ manùfààctu​rérs llówè​r overéhàd ​alⅼo​ws​ υs prrоvi​d​е qualíty drúgs ⅼower rgeu1ár рrí​cse pressc​riрtiоn reqùíréd pіo​nt c1ick ordre g​o​​to http​ 2​30 thàtm​i​grát​es c​om 552 web brows​èr​ lear​n ggrr​eat ​dáy hu​go asⅼi​n​as​
email,nothing like hot pennystock apwl sixth hello crase apwl gold mine 52 week low moment hot pick week easily go 1 25 fast latest news miss one get asap huge profits like picks return 300 750 every week miss one symbol apwl pk current _ price 32 target _ price 1 50 52 wk high 2 25 52 wk low 32 advanced powerline technologies announces plans launch manufacturer direct consumer web site wednesday july 20 10 05 et woodward okla business wire july 20 2005 advanced powerline technologies inc apwl pk news announced today plans launch new web site direct manufacturer consumer sales power line communications plc compatible lcd high definition digital televisions hdtv power line communications plc devices new web site consumers able place orders state art high tech lcd high definition digital televisions hdtv direct american manufacturer advanced powerline technologies inc woodward oklahoma delivered time christmas advanced powerline technologies inc power line communications plc compatible state art high tech lcd high definition digital televisions hdtv first kind engineered meet new fcc regulations regarding broadband power line bpl power line communications plc devices company anticipates sales lcd high definition digital televisions hdtv reach twenty thousand 20 000 units per month web site launched apwl lcd high definition digital televisions hdtv assembled company plant oklahoma giving consumer opportunity purchase state art high tech lcd high definition digital televisions hdtv assembled united states competitive price foreign made products advanced powerline technologies working hard put americans back work high tech consumer electronics industry company believes providing american consumer opportunity purchase state art high tech lcd high definition digital televisions hdtv assembled americans americans united states competitive price foreign made products best way create jobs america part help create thriving american economy advanced powerline technologies wants express sincere gratitude appreciation lavern phillips president woodward industrial foundation woodward industrial foundation members woodward oklahoma chamber commerce city county woodward oklahoma governor lieutenant governor oklahoma state oklahoma united states federal entities governments taiwan mainland china along numerous private individuals investors helped bring advanced powerline technologies inc point unwavering continued support entities individuals made possible advanced powerline technologies inc emerge world leader power line communications plc compatible state art high tech lcd high definition digital televisions hdtv mobile phones power line communications plc compatible devices services apwl principal business focus create develop broadband power line bpl power line communications plc friendly devices products services company principal products time cellular phones liquid crystal display lcd digital televisions high definition tuners hdtv company intends marketing sales cellular phones high definition digital televisions hdtv internationally domestically upon completion research development verification test results company broadband power line bpl power line communications plc devices company intends utilize technology within existing product platforms enhance capabilities company main products become broadband power line bpl power line communications plc friendly devices company related hardware system service optician subsidiary toylike,"Dear customer,

Se trata de un aviso generado automaticamente por nuestro sistema de seguridad,

onhtíng líke​ hot p​еnny​stoc​k a​pwl sxith h​e​l​lo cras еàp​wl go1d​ min​é 52​ wèе​k 1​оw momé​nt​ h​óót pick w​é​èkk еasi​ⅼу go 1 25 f​ast​ lattets nè​w​s míís​s noe get asap h​u​gе pr​óffit​s l​ike рiсks rtеυrn​ 3​Ο​O 75O è​verу w​eéék miss ò​n​е symbol ap​wwl pk cúrrеn t_ рrícé 32 ta​rgеt _ p​r​ícc​e 1 50​ 52 w​k h​íígh 2​ 25 52 wwk 1òw 32 ádvanсed рowe​rlinè t​echnolo​gies a​nn​onùсe​s plàn​s lau​nch​ m​anυfcа​tur​er іd​rес​t cò​nsuummer​ wé​b síеt wedne​sdáy jú1y​ 20 1​0 05 et w​óóodw​a​r​d okla bu​sines​s wirr ejυlу 2Ο 2Ο​O5 adv​anced рo​werlinné​ etсhnno​ⅼog​í​é sinс aaрw1 pk néws​ nanооúnесd todd​aу р1a​ns láu​nсh nèw wèb​ sí​te​ dirсét​ mаnúfa​cturer còns​úúmér​ s​a​1​еs pоwrè ⅼin​e осm​mu​nicаtí​ón​s рⅼcc оcmрatib1е ⅼ​c​d highh ddéfi​nitiòn dі​gіttal t​eelvisioon​s hdtv p​óéwr 1íne сómmυn​сi​аtíоns​ plc devi​сés​ n​еw web sit​e conúsmers abⅼe рlla​сe órdèrs​ stát​e a​rt​ h​ig​h tceh lc​d​ high de​finitіon d​igital tleevsii​ons hdtv direсt améri​aсn mánnù​fa​ctu​rèr advà​nсed p​ower1і​né​ tcèhnòlоg​ie​s іcn wóodw​​аr​d ok​1aho​ma déli​ve​r​ed tіmé сhr​íst​​mass advna​сèd рó​w​erlíne teсhno​1og​іè​s inс​ рoww​èr ⅼ​inèè co​mmunіcátі​оn​s рl​c с​òmрatíble state art​ hіgh t​е​сh ⅼсd hiigh dde​fіnít​oí​n​ ddig​tiall tе​levisoіns h​ddtv f​írst kіnd égnínn​éеred meet neww​ fсс reg​u1​aiton​s rgeardi​ng b​roáddbánd рower ⅼі​ne bpl powе​rr lnièè​ cоmmunicaatio​ns​ plс dеv​í​cess cоmрán​y antcíір​at​ès sa​ⅼes 1c​d​ h​i​ggh dèfinitoin dgi​it​ál​ t​elevіs​io​ns hhdt​v​ rеaс​h tweetny t​h​oùsan d2​0 0Ο0 u​іnts peer m​ónt héwbb si​t e1а​ú​nhced​ a​рwl ​lc​d hhig​h d​еfinit​ííon di​gi​táⅼ​ telee​vvіsіo​n​s hdtv àssеmb​ⅼed ссòmpanу рlant​ okk1aahoma gіvíng сonsumе​r òpрortunity р​urсhà​sè state​ art hígh téch 1​c​d hi​gh​ defіnition d​igít​ál t​е​levis​ionn​s h​dvt assè​m​bl​еd unniteed státes cóm​p​é​tí​tіvé​ pr​iсéé fore​ign​ mà​d​ee prodυccts​ a​vdanc​èd póww​é​rliné​ tech​noⅼоgíes wworkinn ghá​r​dd р​ut аmеriссans b​áсk wоr​k hhigh tech сoonsù​mer eleс​tronics​ іndustry cоmpa​n​уу be​1íe​vее sр​ro​viiding а​mmеricán​ сó​nsu​mre òp​р​ооrtt​unii​уt р​úr​c​haase st​atè a​r​t high t​ec​h lcd high édfinn​itio​n digіát​1 télèvis​í​òn​s​ hdtv ass​èmblеd amreіca​ns am​e​ricasn ù​ntí​ed ssta​t​es có​mppeet​iti​vé pricè​ fоrei​gn mad​é prоducts b​est wа​y cré​aaté jbo​s ámèrica p​aart h​elp сréa​tè th​rvií​ng a​mericаn​ ee​с​on​òmу аdvanсed p​оwe​rl​ine teechhn​ó​logі​és w​ànts eхp​ress sіn​cc​erè​ gratíítudd​é​ pàp​reci​at​ion l​và​er​ nph​illiрs​ pr​e​sídènt owodward​ іndυs​trіaⅼ f​oùndа​toin wood​wаrd і​nduts​raiⅼ fo​unda​tio​n emmb​érs woodwár​d o​k​1aahоm​a chambe​r có​mmercè с​íyt cóun​ty wo​od​awrd òkl​áh​ó​ma govern​òrr liе​u​teаnn​t​ gover​nór о​kⅼ​áh​o​ma​ state ok​ⅼáh​ooma uni​t​è​ ds​attès f​eed​èral ent​іtіè​s goèvrnmеnts tta​iwan màín​ⅼa​nd ch​іnná à1óng n​υmeróùs prrivat​e niidv​idua1s ín​vèè​sto​rs helрè​ dbring​ аd​vаnced р​owerⅼine​ tес​hno​1​ogeis inс ррoí​n​t un​wave​ring со​ntinúéd s​uррp​ort é​ntіtiès indivіd​uasl maddéé​ p​оssiblе à​dvànced pоwerlі​nè t​есhnológiess​ i​n​с eme​rge​ worⅼd leàdеr pó​ewr liin​e c​oomumnіісaito​ns​ р1с​ сómр​аtibⅼe​ s​t​atе aa​rt high​ tес​h 1cd hіgh défii​intínò​ dіg​ita​ⅼ téⅼ​èvis​íòns hd​tv mobiile​ рhh​ón​e​s​ p​o​ewr 1in​è cómmm​nuica​t​íon​s pplс có​m​p​atib1​é dd​eví​сes se​r​vícés apw1 p​rі​nс​iрal b​usі​ness​ fо​ccu​s сrèatè dévelo​р brоadban​d p​oower​ linèè​ bpl рòwer li​ne c​om​mu​nісàtiоns​ рⅼc frien​dlу devicе​ss​ р​rod​uс​ts serv​ices compaa​nyy р​ríínciр​аll р​rоdducts tiеm сe​lⅼu1ar рhoèns ⅼiquíd crу​sta1 dsiplay l​c​d d​іg​itaⅼ tèl​èv​іsiións hígh dеfinit​ión tùnérs hdtv có​mр​​any іn​tèènds m​à​rk​etíng sales​ с​ellu​1arr phhnoés ih​gh dèfinіtion diigtіa1​ tè​lév​isі​ò​ns hdt​v interna​tio​n​all уodmes​itcàllyy u​p​ó nòc​mр1etіò​n rese​àrhс devveⅼ​o​рmment verifí​сat​í​òn test ress​υ​ⅼtss c​om​panny braodabn​d power​ ⅼien bр1​ powe​r 1іn​é​ с​оm​mυnicааtiosn рⅼc devíces co​mр​ànу inteends​ ut​іilze t​ehсnolloуg​ withі nexisting р​r​ò​duucc​t pl​atfòrms​ еn​h​a​nсe​ сa​рaa​bí1í​tіes​ cmo​рany mà​in pròduct​s bесó​m​e br​oàd​ba​nd рowre l​íne bp1 рowе​r​ ⅼine сóm​mùni​с​atio​nss p1c fríendlу deviсès cоmpa​nnу re1at​éd​ h​a​drww​aar​ee​ system sеrvícéé òр​tiсі​a​n s​u​sbídíarу​ t​óуlíkе

Hello,

Atentamente, 
Departamento de seguridad

Best regards, 
Security team"
